FROMDATE,TODATE,DAYPART,CHANNEL,PIVOT_SEQ,PIVOT_HDR1,PIVOT_DATA1
9/7/2014,9/13/2014,DayPart 2,Star Plus,30,DayPart 8:Star Plus,10419
9/7/2014,9/13/2014,DayPart 2,Star Plus,31,DayPart 8:SONY ENTERTAINMENT TV,4186
9/7/2014,9/13/2014,DayPart 2,Star Plus,32,DayPart 8:Colors Viacom18,5778
9/7/2014,9/13/2014,DayPart 2,Star Plus,33,DayPart 9:Z Zee TV,3771
9/7/2014,9/13/2014,DayPart 2,Star Plus,34,DayPart 9:Star Plus,9933
9/7/2014,9/13/2014,DayPart 2,Star Plus,35,DayPart 9:SONY ENTERTAINMENT TV,2851
9/7/2014,9/13/2014,DayPart 2,Star Plus,36,DayPart 9:Colors Viacom18,3546
9/7/2014,9/13/2014,DayPart 2,Star Plus,37,DayPart 10:Z Zee TV,2253
9/7/2014,9/13/2014,DayPart 2,Star Plus,38,DayPart 10:Star Plus,6487
9/7/2014,9/13/2014,DayPart 2,Star Plus,39,DayPart 10:SONY ENTERTAINMENT TV,1527
9/7/2014,9/13/2014,DayPart 2,Star Plus,40,DayPart 10:Colors Viacom18,1853
9/7/2014,9/13/2014,DayPart 2,Star Plus,41,DayPart 11:Z Zee TV,57
9/7/2014,9/13/2014,DayPart 2,Star Plus,42,DayPart 11:Star Plus,133
9/7/2014,9/13/2014,DayPart 2,Star Plus,43,DayPart 11:SONY ENTERTAINMENT TV,17
9/7/2014,9/13/2014,DayPart 2,Star Plus,44,DayPart 11:Colors Viacom18,0
9/7/2014,9/13/2014,DayPart 2,SONY ENTERTAINMENT TV,1,DayPart 1:Z Zee TV,1944
