RCLNT,RYEAR,DOCNR,RLDNR,RBUKRS,DOCLN,ACTIV,RMVCT,RTCUR,RUNIT,AWTYP,RRCTY,RVERS,LOGSYS,RACCT,COST_ELEM,RCNTR,PRCTR,RFAREA,RBUSA,KOKRS,SEGMENT,ZZZONE,SCNTR,PPRCTR,SFAREA,SBUSA,RASSC,PSEGMENT,TSL,HSL,KSL,OSL,MSL,WSL,DRCRK,POPER,RWCUR,GJAHR,BUDAT,BELNR,BUZEI,BSCHL,BSTAT,LINETYPE,XSPLITMOD,USNAM,KUNNR
300,2014,200000971,0L,2000,3,RFBU,,USD,,BKPF,0,1,,225010,,,20009M01,,1000,1000,,,,,,,,,-10925,-10925,-653363.75,0,0,-10925,H,9,USD,2014,00:00.0,200000971,3,17,,2000,X,10100858,1301513
300,2014,200000972,0L,2000,2,RFBU,,USD,,BKPF,0,1,,225010,,,20004M01,,1000,1000,,,,,,,,,-136385,-136385,-8708182.25,0,0,-136385,H,9,USD,2014,00:00.0,200000972,2,17,,2000,X,10100858,1302272
300,2014,200000973,0L,2000,3,RFBU,,USD,,BKPF,0,1,,225010,,,20005M03,,1000,1000,,,,,,,,,-75124,-75124,-4669766.8,0,0,-75124,H,9,USD,2014,00:00.0,200000973,3,17,,2000,X,10100858,1301975
300,2014,200000974,0L,2000,2,RFBU,,USD,,BKPF,0,1,,225004,,,20005M02,,1000,1000,,,,,,,,,-76000,-76000,-4577100,0,0,-76000,H,9,USD,2014,00:00.0,200000974,2,17,,2000,X,10100858,1700536
300,2014,200000975,0L,2000,1,RFBU,,USD,,BKPF,0,1,,225002,,,20005M02,,1000,1000,,,,,,,,,-100498.43,-100498.43,-6416824.76,0,0,-100498.43,H,9,USD,2014,00:00.0,200000975,1,17,,2000,X,10100858,1700346
300,2014,200000975,0L,2000,3,RFBU,,USD,,BKPF,0,1,,225002,,,20005M02,,1000,1000,,,,,,,,,-1490531.25,-1490531.25,-90879040,0,0,-1490531.25,H,9,USD,2014,00:00.0,200000975,3,17,,2000,X,10100858,1700346
300,2014,200000976,0L,2000,1,RFBU,,USD,,BKPF,0,1,,225002,,,20005M02,,1000,1000,,,,,,,,,-1528.71,-1528.71,-97608.13,0,0,-1528.71,H,9,USD,2014,00:00.0,200000976,1,17,,2000,X,10100858,1700340
300,2014,200000976,0L,2000,3,RFBU,,USD,,BKPF,0,1,,225002,,,20005M02,,1000,1000,,,,,,,,,-483606.6,-483606.6,-29729445.02,0,0,-483606.6,H,9,USD,2014,00:00.0,200000976,3,17,,2000,X,10100858,1700340
300,2014,200000976,0L,2000,4,RFBU,,USD,,BKPF,0,1,,225002,,,20005M02,,1000,1000,,,,,,,,,2112.31,2112.31,130435.14,0,0,2112.31,S,9,USD,2014,00:00.0,200000976,4,7,,2000,X,10100858,1700340
300,2014,200000977,0L,2000,2,RFBU,,USD,,BKPF,0,1,,225010,,,20001M01,,1000,1000,,,,,,,,,150,150,9577.5,0,0,150,S,9,USD,2014,00:00.0,200000977,2,7,,2000,X,20000003,1301885
300,2014,200000977,0L,2000,3,RFBU,,USD,,BKPF,0,1,,225010,,,20002M05,,1000,1000,,,,,,,,,-117200,-117200,-7289760,0,0,-117200,H,9,USD,2014,00:00.0,200000977,2,17,,2000,X,20000003,1301885
300,2014,200000978,0L,2000,2,RFBU,,USD,,BKPF,0,1,,225010,,,20001M01,,1000,1000,,,,,,,,,36,36,2298.6,0,0,36,S,9,USD,2014,00:00.0,200000978,2,7,,2000,X,20000003,1301916
300,2014,200000978,0L,2000,3,RFBU,,USD,,BKPF,0,1,,225010,,,20002M05,,1000,1000,,,,,,,,,-53700,-53700,-3345510,0,0,-53700,H,9,USD,2014,00:00.0,200000978,2,17,,2000,X,20000003,1301916
